"[all run data]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
,"1","4597","45.064209391236155","1","4597","45.064209391236155","1","4597","45.064209391236155","1","4597","45.064209391236155","1","4597","45.064209391236155","1","4597","45.064209391236155","1","4597","45.064209391236155","1","4597","45.064209391236155","1","4597","45.064209391236155","1","4597","45.064209391236155"
,"2","4597","45.064209391236155","2","4597","45.064209391236155","2","4597","45.064209391236155","2","4597","45.064209391236155","2","4597","45.064209391236155","2","4597","45.064209391236155","2","4597","45.064209391236155","2","4597","45.064209391236155","2","8317","45.88765807273797","2","4597","45.064209391236155"
,"3","4597","45.064209391236155","3","4597","45.064209391236155","3","4597","45.064209391236155","3","4597","45.064209391236155","3","4597","45.064209391236155","3","4597","45.064209391236155","3","4597","45.064209391236155","3","4597","45.064209391236155","3","14059","46.55425938633467","3","4597","45.064209391236155"
,"4","4597","45.064209391236155","4","4597","45.064209391236155","4","4597","45.064209391236155","4","4597","45.064209391236155","4","4597","45.064209391236155","4","4597","45.064209391236155","4","4597","45.064209391236155","4","4597","45.064209391236155","4","20176","47.22086069993138","4","4597","45.064209391236155"
,"5","4597","45.064209391236155","5","8428","45.44652485050486","5","4597","45.064209391236155","5","4597","45.064209391236155","5","4597","45.064209391236155","5","4597","45.064209391236155","5","4597","45.064209391236155","5","4597","45.064209391236155","5","26284","47.67179688265857","5","8317","45.63278109989217"
,"6","8317","45.70140182335065","6","14794","45.76021958631507","6","8317","45.69159886285659","6","4597","45.064209391236155","6","4597","45.064209391236155","6","8392","45.50534261346927","6","8317","45.55435741593962","6","4597","45.064209391236155","6","32416","48.0737182629154","6","14152","46.01509655916086"
,"7","14401","46.11312616410156","7","20986","46.18174688756004","7","14536","46.05430840113714","7","4597","45.064209391236155","7","4597","45.064209391236155","7","14368","45.94647583570238","7","14575","45.96608175669053","7","4597","45.064209391236155","7","38698","48.475639643172244","7","19957","46.417017939417704"
,"8","20770","46.39741201842956","8","27043","46.524850504852466","8","20782","46.36800313694736","8","4597","45.064209391236155","8","4597","45.064209391236155","8","20590","46.29938241348888","8","20251","46.32879129497108","8","8347","45.43672189001078","8","45016","48.88736398392315","8","25966","46.79933339868641"
,"9","26743","46.78953043819234","9","33277","46.750318596216054","9","27199","46.80913635918047","9","4597","45.064209391236155","9","4597","45.064209391236155","9","26464","46.57386530732281","9","26362","46.61307714929909","9","14491","45.88765807273797","9","51463","49.34810312714439","9","32170","47.01499852955593"
,"10","33079","47.06401333202626","10","39310","46.94637780609744","10","33550","47.06401333202626","10","4597","45.064209391236155","10","4597","45.064209391236155","10","32617","46.88756004313303","10","32650","46.96598372708558","10","20956","46.35820017645329","10","57613","49.65199490246054","10","38143","47.40711694931869"
,"11","39157","47.37770806783649","11","45289","47.14243701597882","11","39859","47.46593471228311","11","4597","45.064209391236155","11","4597","45.064209391236155","11","38449","47.16204293696696","11","38866","47.309087344378","11","26827","46.691500833251645","11","63919","50.083325164199586","11","44248","47.74041760611705"
,"12","45208","47.701205764140774","12","51355","47.42672287030684","12","45982","47.79923536908146","12","8341","45.377904127046364","12","8353","45.56416037643368","12","44785","47.524752475247524","12","44989","47.76982648759925","12","33016","47.03460445054406","12","70243","50.514655425938635","12","50332","47.98549161846878"
